conf,hold,stop,take,trades,pnl,dd
0.6,10,0.002,0.01,50,-1.963587271590328,2.2837988400314266
0.6,10,0.003,0.006,50,-1.963587271590328,2.2837988400314266
0.6,10,0.003,0.008,50,-1.963587271590328,2.2837988400314266
0.6,10,0.003,0.01,50,-1.963587271590328,2.2837988400314266
0.6,10,0.004,0.004,50,-1.9805726536704649,2.1434922401057332
0.6,10,0.002,0.004,50,-2.121112847597806,2.2837988400314377
0.6,10,0.003,0.004,50,-2.121112847597806,2.2837988400314377
0.55,5,0.003,0.004,158,-4.556060911505256,4.556060911505256
0.55,5,0.003,0.006,158,-4.556060911505256,4.556060911505256
0.55,5,0.003,0.008,158,-4.556060911505256,4.556060911505256
0.55,5,0.003,0.01,158,-4.556060911505256,4.556060911505256
0.55,5,0.004,0.004,158,-4.556060911505256,4.556060911505256
0.55,5,0.004,0.006,158,-4.556060911505256,4.556060911505256
0.55,5,0.004,0.008,158,-4.556060911505256,4.556060911505256
0.55,5,0.004,0.01,158,-4.556060911505256,4.556060911505256
0.55,5,0.002,0.004,159,-4.671631522557551,4.671631522557551
0.55,5,0.002,0.006,159,-4.671631522557551,4.671631522557551
0.55,5,0.002,0.008,159,-4.671631522557551,4.671631522557551
0.55,5,0.002,0.01,159,-4.671631522557551,4.671631522557551
0.55,7,0.002,0.006,138,-4.813084065996199,4.813084065996199
0.55,7,0.002,0.008,138,-4.813084065996199,4.813084065996199
0.55,7,0.002,0.01,138,-4.813084065996199,4.813084065996199
0.55,7,0.004,0.006,137,-4.822214224745169,4.822214224745169
0.55,7,0.004,0.008,137,-4.822214224745169,4.822214224745169
0.55,7,0.004,0.01,137,-4.822214224745169,4.822214224745169
0.55,7,0.003,0.006,137,-4.86878067910459,4.86878067910459
0.55,7,0.003,0.008,137,-4.86878067910459,4.86878067910459
0.55,7,0.003,0.01,137,-4.86878067910459,4.86878067910459
0.55,7,0.002,0.004,138,-4.935507381626147,4.935507381626147
0.55,7,0.004,0.004,137,-4.944625797749646,4.944625797749646
0.55,7,0.003,0.004,137,-4.9911323613175185,4.9911323613175185
0.55,10,0.004,0.006,119,-5.014396131796639,5.051226113358787
0.55,10,0.004,0.008,119,-5.014396131796639,5.051226113358787
0.55,10,0.004,0.01,119,-5.014396131796639,5.051226113358787
0.55,10,0.004,0.004,119,-5.121210397299447,5.125856032786278
0.55,10,0.002,0.006,119,-5.123087710068363,5.15987554725641
0.55,10,0.002,0.008,119,-5.123087710068363,5.15987554725641
0.55,10,0.002,0.01,119,-5.123087710068363,5.15987554725641
0.55,10,0.003,0.006,119,-5.15678559542454,5.193560366501031
0.55,10,0.003,0.008,119,-5.15678559542454,5.193560366501031
0.55,10,0.003,0.01,119,-5.15678559542454,5.193560366501031
0.55,10,0.002,0.004,119,-5.229779748511221,5.234420068019287
0.55,10,0.003,0.004,119,-5.263439739547238,5.268078410930897
0.55,3,0.003,0.004,184,-6.985555162895373,6.985555162895373
0.55,3,0.003,0.006,184,-6.985555162895373,6.985555162895373
0.55,3,0.003,0.008,184,-6.985555162895373,6.985555162895373
0.55,3,0.003,0.01,184,-6.985555162895373,6.985555162895373
0.55,3,0.004,0.004,184,-6.985555162895373,6.985555162895373
0.55,3,0.004,0.006,184,-6.985555162895373,6.985555162895373
0.55,3,0.004,0.008,184,-6.985555162895373,6.985555162895373
0.55,3,0.004,0.01,184,-6.985555162895373,6.985555162895373
0.55,3,0.002,0.004,185,-7.0683126589090595,7.0683126589090595
0.55,3,0.002,0.006,185,-7.0683126589090595,7.0683126589090595
0.55,3,0.002,0.008,185,-7.0683126589090595,7.0683126589090595
0.55,3,0.002,0.01,185,-7.0683126589090595,7.0683126589090595
